mls,address,submarket,asset_type,price,assumed_value,implied_cap,market_cap,ppsf,pred_ppsf,income_gap_pct,reason
F10550621,1313 S Andrews Avenue,Area 3800,Commercial (other),2350000.0,5397181.0,0.1608,0.07,84.0,132.0,-56.5,implied cap 16.08% vs 7.00% market (given assumed rents); 36% under comp $/sqft; asking ~56% below assumption value ($5.40M)
F10447470,1225 SE 2nd Avenue,Area 3800,Office,1995000.0,4329202.0,0.1736,0.08,92.0,70.0,-53.9,implied cap 17.36% vs 8.00% market (given assumed rents); asking ~54% below assumption value ($4.33M)
F10435807,701 W Las Olas Boulevard,Area 3470,Commercial (other),1900000.0,3990870.0,0.147,0.07,92.0,140.0,-52.4,implied cap 14.70% vs 7.00% market (given assumed rents); 34% under comp $/sqft; asking ~52% below assumption value ($3.99M)
A11992794,1518-1522 NE 4th Ave,Area 3370,Retail,750000.0,1527733.0,0.1375,0.0675,120.0,209.0,-50.9,implied cap 13.75% vs 6.75% market (given assumed rents); 42% under comp $/sqft; asking ~51% below assumption value ($1.53M)
A11941918,2001-2007 NW 21st Ave,Area 3560,Mixed Use,799900.0,1544192.0,0.1303,0.0675,72.0,175.0,-48.2,implied cap 13.03% vs 6.75% market (given assumed rents); 59% under comp $/sqft; asking ~48% below assumption value ($1.54M)
A11978741,355 NW 32nd St Unit#1-6,Area 3720,Multifamily,1300000.0,2462321.0,0.1042,0.055,94.0,210.0,-47.2,implied cap 10.42% vs 5.50% market (given assumed rents); 55% under comp $/sqft; asking ~47% below assumption value ($2.46M)
A12048692,423 SE 19th St,Area 3800,Office,799000.0,1359022.0,0.1361,0.08,117.0,130.0,-41.2,implied cap 13.61% vs 8.00% market (given assumed rents); 10% under comp $/sqft; asking ~41% below assumption value ($1.36M)
A12029539,1026 NW 9th Ave,Area 3424,Retail,1050000.0,1650725.0,0.1061,0.0675,156.0,206.0,-36.4,implied cap 10.61% vs 6.75% market (given assumed rents); 25% under comp $/sqft; asking ~36% below assumption value ($1.65M)
A12026724,1026 NW 9th Ave,Area 3424,Retail,1050000.0,1650725.0,0.1061,0.0675,156.0,206.0,-36.4,implied cap 10.61% vs 6.75% market (given assumed rents); 25% under comp $/sqft; asking ~36% below assumption value ($1.65M)
F10550299,201 SE 19th Street,Area 3800,Commercial (other),875000.0,1324224.0,0.1059,0.07,128.0,280.0,-33.9,implied cap 10.59% vs 7.00% market (given assumed rents); 54% under comp $/sqft; asking ~34% below assumption value ($1.32M)
A11993577,834 NW 10th Terr,Area 3460,Industrial,1750000.0,2616300.0,0.0934,0.0625,104.0,142.0,-33.1,implied cap 9.34% vs 6.25% market (given assumed rents); 27% under comp $/sqft; asking ~33% below assumption value ($2.62M)
F10540017,100 SE 21st Street Unit#1-8,Area 3800,Multifamily,1750000.0,2551358.0,0.0802,0.055,122.0,183.0,-31.4,implied cap 8.02% vs 5.50% market (given assumed rents); 33% under comp $/sqft; asking ~31% below assumption value ($2.55M)
F10546000,1100 NW 4th Street,Area 3480,Commercial (other),2900000.0,4152720.0,0.1002,0.07,135.0,172.0,-30.2,implied cap 10.02% vs 7.00% market (given assumed rents); 21% under comp $/sqft; asking ~30% below assumption value ($4.15M)
A12052897,2209 NE 26th St,Area 3370,Hotel,7995000.0,11393249.0,0.1211,0.085,220.0,195.0,-29.8,implied cap 12.11% vs 8.50% market (given assumed rents); asking ~30% below assumption value ($11.39M)
F10382163,1021 NW 1st Street,Area 3470,Commercial (other),975000.0,1355200.0,0.0973,0.07,139.0,249.0,-28.1,implied cap 9.73% vs 7.00% market (given assumed rents); 44% under comp $/sqft; asking ~28% below assumption value ($1.36M)
A12004590,1126 SE 2nd Ave,Area 3800,Mixed Use,1100000.0,1518955.0,0.0932,0.0675,100.0,156.0,-27.6,implied cap 9.32% vs 6.75% market (given assumed rents); 36% under comp $/sqft; asking ~28% below assumption value ($1.52M)
F10546525,751 NW 5th Street,Area 3460,Multifamily,1399990.0,1806595.0,0.071,0.055,138.0,162.0,-22.5,implied cap 7.10% vs 5.50% market (given assumed rents); 15% under comp $/sqft; asking ~22% below assumption value ($1.81M)
A11841391,848 NW 2nd Ave,Area 3810,Multifamily,975000.0,1204396.0,0.0679,0.055,144.0,406.0,-19.0,implied cap 6.79% vs 5.50% market (given assumed rents); 64% under comp $/sqft; asking ~19% below assumption value ($1.20M)
A11967447,505 SE 16th St,Area 3600,Hotel,6000000.0,6712588.0,0.0951,0.085,280.0,373.0,-10.6,implied cap 9.51% vs 8.50% market (given assumed rents); 25% under comp $/sqft; asking ~11% below assumption value ($6.71M)
