band,address,street,neighborhood,geo_type,ptype,sqft,waterfront,list_price,ask_ppsf,supported_ppsf,supported_value,under_pct,opportunity,street_comps,confidence,reasons
$5M–$10M,1500 SE 14th Street,SE 14th St,Lauderdale Harbors,Intracoastal / canal waterfront,Single Family,5424,True,6999999,1291.0,1792.0,9720000,38.8,2717000,8,High,"Asking $1,291/sqft — 39% under supported $1,792/sqft (8 sales on SE 14th St). | Newer construction (built 2025) priced near existing-home levels ($855/sqft)."
$5M–$10M,91 Fiesta Way,Fiesta Way,Nurmi Isles,Finger-isle waterfront,Single Family,6184,True,7450000,1205.0,1535.0,9492000,27.4,2041000,9,High,"Asking $1,205/sqft — 27% under supported $1,535/sqft (9 sales on Fiesta Way). | Newer construction (built 2023) priced near existing-home levels ($988/sqft)."
$5M–$10M,2601 Delmar Pl,Delmar Pl,Gould Isles,Intracoastal / canal waterfront,Single Family,6019,True,6250000,1038.0,1328.0,7993000,27.9,1746000,4,Medium,"Asking $1,038/sqft — 28% under supported $1,328/sqft (4 sales on Delmar Pl). | In Gould Isles's $5M–$10M band, homes sell around $1,268/sqft."
$5M–$10M,310 SE 11th Ave,SE 11th Ave,Himmarshee Park,Intracoastal / canal waterfront,Single Family,6058,True,5890000,972.0,1259.0,7627000,29.5,1739000,8,High,"Asking $972/sqft — 30% under supported $1,259/sqft (8 sales on SE 11th Ave)."
$5M–$10M,441 Royal Plaza Drive,Royal Plz Dr,Stilwell Isles,Finger-isle waterfront,Single Family,6162,True,6475000,1051.0,1303.0,8029000,24.0,1553000,6,High,"Asking $1,051/sqft — 24% under supported $1,303/sqft (6 sales on Royal Plz Dr). | In Stilwell Isles's $5M–$10M band, homes sell around $1,182/sqft."
$5M–$10M,424 Coconut Isle Drive,Coconut Isle Dr,Venice,Finger-isle waterfront,Single Family,5301,True,6495000,1225.0,1507.0,7989000,23.0,1495000,7,High,"Asking $1,225/sqft — 23% under supported $1,507/sqft (7 sales on Coconut Isle Dr)."
$5M–$10M,400 Coral Way,Coral Way,Coral Isles,Finger-isle waterfront,Single Family,6349,True,9399000,1480.0,1707.0,10838000,15.3,1441000,10,High,"Asking $1,480/sqft — 15% under supported $1,707/sqft (10 sales on Coral Way). | Newer construction (built 2021) priced near existing-home levels ($1,275/sqft)."
$3M–$5M,3325 NE 18th,NE 18th,Las Olas,Mainland inland,Single Family,5000,False,4800000,960.0,1222.0,6110000,27.3,1310000,0,Neighborhood,"Asking $960/sqft — 27% under supported $1,222/sqft (163 sales in Las Olas)."
$5M–$10M,609 Poinciana Drive,Poinciana Dr,Idlewyld,Finger-isle waterfront,Single Family,4539,True,5395000,1189.0,1476.0,6700000,24.1,1303000,0,Neighborhood,"Asking $1,189/sqft — 24% under supported $1,476/sqft (16 sales in Idlewyld). | Waterfront, yet priced below the area's waterfront median ($1,623/sqft). | Newer construction (built 2022) priced near existing-home levels ($756/sqft)."
$5M–$10M,709 Isle Of Palms Dr,Isle Of Palms Dr,Stilwell Isles,Finger-isle waterfront,Single Family,7130,True,7999999,1122.0,1297.0,9248000,15.6,1248000,4,Medium,"Asking $1,122/sqft — 16% under supported $1,297/sqft (4 sales on Isle Of Palms Dr)."
$10M+,340 San Marco Dr,San Marco Dr,Coral Isles,Finger-isle waterfront,Single Family,6936,True,10999000,1586.0,1765.0,12242000,11.3,1242000,0,Neighborhood,"Asking $1,586/sqft — 11% under supported $1,765/sqft (15 sales in Coral Isles). | Newer construction (built 2026) priced near existing-home levels ($1,275/sqft)."
$3M–$5M,549 NE 10th Avenue,NE 10th Ave,Holmberg Mc Kees,Mainland inland,Single Family,3880,False,3100000,799.0,1104.0,4284000,38.2,1183000,21,High,"Asking $799/sqft — 38% under supported $1,104/sqft (21 sales on NE 10th Ave)."
$3M–$5M,1958 Harbourview Drive,Harbourview Dr,Harbour Heights,Mainland inland,Single Family,4565,False,3250000,712.0,953.0,4350000,33.8,1100000,4,Medium,"Asking $712/sqft — 34% under supported $953/sqft (4 sales on Harbourview Dr). | In Harbour Heights's $3M–$5M band, homes sell around $1,100/sqft."
$3M–$5M,720 SE 7th St,SE 7th St,Rio Vista,Mainland inland,Single Family,4150,False,3400000,819.0,1064.0,4416000,29.9,1017000,23,High,"Asking $819/sqft — 30% under supported $1,064/sqft (23 sales on SE 7th St). | In Rio Vista's $3M–$5M band, homes sell around $924/sqft."
$10M+,2508 Delmar Place,Delmar Pl,Gould Isles,Intracoastal / canal waterfront,Single Family,6590,True,10495000,1593.0,1742.0,11480000,9.4,982000,4,Medium,"Asking $1,593/sqft — 9% under supported $1,742/sqft (4 sales on Delmar Pl)."
$3M–$5M,445 NE 11th Avenue,NE 11th Ave,Halls,Mainland inland,Single Family,3407,False,3295000,967.0,1234.0,4204000,27.6,910000,18,High,"Asking $967/sqft — 28% under supported $1,234/sqft (18 sales on NE 11th Ave). | Newer construction (built 2025) priced near existing-home levels ($776/sqft)."
$2M–$3M,1115 SW 5th Pl,SW 5th Pl,Riverside Amen,Intracoastal / canal waterfront,Single Family,4751,True,2895000,609.0,797.0,3787000,30.9,893000,4,Medium,Asking $609/sqft — 31% under supported $797/sqft (4 sales on SW 5th Pl).
$2M–$3M,1940 Harbourview Drive,Harbourview Dr,Harbor Beach,Barrier island / beach,Single Family,4203,False,2679000,637.0,845.0,3552000,32.7,874000,4,Medium,"Asking $637/sqft — 33% under supported $845/sqft (4 sales on Harbourview Dr). | In Harbor Beach's $2M–$3M band, homes sell around $955/sqft."
$3M–$5M,3017 N Atlantic Boulevard,N Atlantic Blvd,Lauderdale Beach,Barrier island / beach,Single Family,4620,False,4900000,1061.0,1249.0,5770000,17.7,869000,0,Neighborhood,"Asking $1,061/sqft — 18% under supported $1,249/sqft (12 sales in Lauderdale Beach)."
$2M–$3M,1009 B NE 3rd Street,B NE 3rd St,Victoria Park,Mainland inland,Single Family,3276,False,2200000,672.0,924.0,3027000,37.5,826000,0,Neighborhood,Asking $672/sqft — 38% under supported $924/sqft (146 sales in Victoria Park). | Newer construction (built 2026) priced near existing-home levels ($523/sqft).
$3M–$5M,607 NE 17th Avenue,NE 17th Ave,Victoria Park,Mainland inland,Single Family,4694,False,3400000,724.0,899.0,4220000,24.2,821000,36,High,Asking $724/sqft — 24% under supported $899/sqft (36 sales on NE 17th Ave).
$5M–$10M,7 Pelican Drive,Pelican Dr,Pelican Isles,Finger-isle waterfront,Single Family,6301,True,6900000,1095.0,1224.0,7712000,11.8,813000,5,High,"Asking $1,095/sqft — 12% under supported $1,224/sqft (5 sales on Pelican Dr)."
$5M–$10M,704 Isle Of Palms Drive,Isle Of Palms Dr,Stilwell Isles Pa,Finger-isle waterfront,Single Family,6110,True,6495000,1063.0,1194.0,7295000,12.3,800000,4,Medium,"Asking $1,063/sqft — 12% under supported $1,194/sqft (4 sales on Isle Of Palms Dr)."
$5M–$10M,540 Lido Dr,Lido Dr,Coral Isles,Finger-isle waterfront,Single Family,5973,True,6895000,1154.0,1280.0,7645000,10.9,753000,0,Neighborhood,"Asking $1,154/sqft — 11% under supported $1,280/sqft (15 sales in Coral Isles). | In Coral Isles's $5M–$10M band, homes sell around $1,423/sqft."
$3M–$5M,1407 SE 9 Street,SE 9 St,Rio Vista,Mainland inland,Single Family,3622,False,3395000,937.0,1145.0,4147000,22.2,753000,0,Neighborhood,"Asking $937/sqft — 22% under supported $1,145/sqft (91 sales in Rio Vista)."
$3M–$5M,1625 SE 1st Street,SE 1st St,Colee Hammock,Mainland inland,Single Family,4594,False,4499000,979.0,1142.0,5246000,16.6,749000,10,High,"Asking $979/sqft — 17% under supported $1,142/sqft (10 sales on SE 1st St)."
$3M–$5M,2611 Clematis Place,Clematis Pl,Idlewyld,Mainland inland,Single Family,4594,False,4700000,1023.0,1180.0,5421000,15.3,721000,0,Neighborhood,"Asking $1,023/sqft — 15% under supported $1,180/sqft (16 sales in Idlewyld). | Newer construction (built 2025) priced near existing-home levels ($756/sqft)."
$3M–$5M,433 NE 11th Ave,NE 11th Ave,Victoria Park,Mainland inland,Single Family,4361,False,3450000,791.0,954.0,4160000,20.6,711000,18,High,Asking $791/sqft — 21% under supported $954/sqft (18 sales on NE 11th Ave).
$2M–$3M,2301 N Atlantic Boulevard,N Atlantic Blvd,Lauderdale Beach,Barrier island / beach,Single Family,3400,False,2695000,793.0,1002.0,3407000,26.4,711000,0,Neighborhood,"Asking $793/sqft — 26% under supported $1,002/sqft (12 sales in Lauderdale Beach). | In Lauderdale Beach's $2M–$3M band, homes sell around $1,040/sqft."
$2M–$3M,1343 Ponce De Leon Drive,Ponce De Leon Dr,Rio Vista,Finger-isle waterfront,Single Family,3083,True,2295000,744.0,962.0,2966000,29.3,672000,13,High,"Asking $744/sqft — 29% under supported $962/sqft (13 sales on Ponce De Leon Dr). | Waterfront, yet priced below the area's waterfront median ($1,124/sqft)."
$1M–$2M,904 NE 17th Ter,NE 17th Ter,Progresso,Mainland inland,Single Family,2623,False,1700000,648.0,904.0,2371000,39.5,671000,26,High,Asking $648/sqft — 40% under supported $904/sqft (26 sales on NE 17th Ter).
$3M–$5M,1201 Mandarin Isle,Mandarin Isle,South New River Isles,Finger-isle waterfront,Single Family,3795,True,3350000,883.0,1055.0,4004000,19.5,653000,5,High,"Asking $883/sqft — 19% under supported $1,055/sqft (5 sales on Mandarin Isle). | Newer construction (built 2024) priced near existing-home levels ($711/sqft)."
$5M–$10M,2856 NE 25th Street,NE 25th St,Coral Ridge,Intracoastal / canal waterfront,Single Family,4795,True,5495000,1146.0,1272.0,6099000,11.0,604000,8,High,"Asking $1,146/sqft — 11% under supported $1,272/sqft (8 sales on NE 25th St)."
$2M–$3M,2015 NE 4th Ave,NE 4th Ave,Wilton Manors First,Mainland inland,Single Family,3755,False,2275000,606.0,759.0,2850000,25.2,575000,5,High,Asking $606/sqft — 25% under supported $759/sqft (5 sales on NE 4th Ave).
$2M–$3M,2800 E Sunrise Blvd Unit#PHG,E Sunrise Blvd,Sunrise East,Barrier island / beach,Condo,4600,True,2295000,499.0,623.0,2866000,24.8,570000,49,Condo — verify,"Asking $499/sqft — 25% under supported $623/sqft (49 sales on E Sunrise Blvd). | Condo — confirm floor, view and condition; unit-level features aren't in the model."
$3M–$5M,1117 SE 9th St,SE 9th St,Rio Vista,Mainland inland,Single Family,4487,False,3750000,836.0,958.0,4299000,14.6,547000,9,High,"Asking $836/sqft — 15% under supported $958/sqft (9 sales on SE 9th St). | In Rio Vista's $3M–$5M band, homes sell around $924/sqft."
$3M–$5M,2625 NE 29th Court,NE 29th Ct,Coral Ridge Galt,Barrier island / beach,Single Family,4752,False,4650000,979.0,1093.0,5194000,11.6,542000,8,High,"Asking $979/sqft — 12% under supported $1,093/sqft (8 sales on NE 29th Ct)."
