category,credit,likely_points,possible_points,assessment_note
Smart Location & Linkage,Preferred Locations,5,2,"Infill, surrounded by existing development, on US-1/Hillsboro corridors; east finger-canals lower connectivity"
Smart Location & Linkage,Brownfield Remediation,0,0,No known brownfield
Smart Location & Linkage,Access to Quality Transit,1,2,"BCT bus on US-1/Hillsboro; Tri-Rail ~2 mi west, no high-freq/rail adjacency (transit score 27)"
Smart Location & Linkage,Bicycle Facilities,0,1,'Somewhat bikeable'; beach/A1A access but few dedicated facilities
Smart Location & Linkage,Housing and Jobs Proximity,1,1,"~988 jobs + commercial node/Hillsboro corridor near ~2,821 residents"
Smart Location & Linkage,Steep Slope Protection,0,0,Flat coastal site - no steep slopes
Smart Location & Linkage,Site Design for Habitat/Water Body,0,0,Built to seawalls; little natural habitat/buffer
Smart Location & Linkage,Restoration of Habitat/Water Bodies,0,0,No habitat/wetland restoration
Smart Location & Linkage,Long-Term Conservation Management,0,0,No conservation-management program
Neighborhood Pattern & Design,Walkable Streets,3,2,"Walk Score 62; shopping/dining/beach walkable core, but auto-oriented + cul-de-sac canals"
Neighborhood Pattern & Design,Compact Development,0,1,Low density (single-family ~3-5 DU/acre) - below compact-development targets
Neighborhood Pattern & Design,Mixed-Use Neighborhoods,1,1,"Cove Shopping Center + dining + Hillsboro corridor mix, concentrated at nodes"
Neighborhood Pattern & Design,Housing Types and Affordability,0,1,"Mostly single-family detached + some condos; waterfront = high cost, limited affordability"
Neighborhood Pattern & Design,Reduced Parking Footprint,0,0,Surface parking at retail; single-family driveways
Neighborhood Pattern & Design,Connected and Open Community,0,1,West grid well-connected; east finger-canals reduce intersection density
Neighborhood Pattern & Design,Transit Facilities,1,0,Bus stops/shelters on Hillsboro & Federal
Neighborhood Pattern & Design,Transportation Demand Management,0,0,No formal TDM program
Neighborhood Pattern & Design,Access to Civic & Public Space,1,0,Sullivan Park promenade / civic space on the Intracoastal
Neighborhood Pattern & Design,Access to Recreation Facilities,1,0,"Sullivan Park (marina, splash pad, playground), fishing pier, beach, Deerfield Island Park"
Neighborhood Pattern & Design,Visitability and Universal Design,0,0,No documented universal-design program
Neighborhood Pattern & Design,Community Outreach and Involvement,1,1,Active Cove Civic Association / HOA
Neighborhood Pattern & Design,Local Food Production,1,0,Cove/Butler House farmers market (380 E Hillsboro)
Neighborhood Pattern & Design,Tree-Lined and Shaded Streetscapes,1,1,Mature canopy in a 1956 neighborhood; coverage varies by street
Neighborhood Pattern & Design,Neighborhood Schools,1,0,St. Ambrose School in area; Deerfield Beach Middle/Elementary nearby
Green Infrastructure & Buildings,Certified Green Buildings,0,0,No confirmed green-building-certified structures
Green Infrastructure & Buildings,Optimize Building Energy Performance,0,0,1956-era housing stock; no energy program
Green Infrastructure & Buildings,Indoor Water Use Reduction,0,0,Standard fixtures; no program
Green Infrastructure & Buildings,Outdoor Water Use Reduction,0,0,No outdoor-water program (though canals/irrigation vary)
Green Infrastructure & Buildings,Building Reuse,1,0,Existing building stock is reused (little teardown)
Green Infrastructure & Buildings,Historic Resource Preservation/Adaptive Reuse,0,1,Butler House (historic) nearby; The Cove itself not designated historic
Green Infrastructure & Buildings,Minimized Site Disturbance,0,0,Fully built-out
Green Infrastructure & Buildings,Rainwater Management,0,1,Canal drainage exists; limited modern green stormwater BMPs
Green Infrastructure & Buildings,Heat Island Reduction,0,0,Canopy helps but much surface parking/paving
Green Infrastructure & Buildings,Solar Orientation,0,0,Not solar-oriented by design
Green Infrastructure & Buildings,Renewable Energy Production,0,0,No systematic renewable production
Green Infrastructure & Buildings,District Heating and Cooling,0,0,No district energy
Green Infrastructure & Buildings,Infrastructure Energy Efficiency,0,0,n/a
Green Infrastructure & Buildings,Wastewater Management,0,0,"Municipal sewer, standard"
Green Infrastructure & Buildings,Recycled and Reused Infrastructure,0,0,n/a
Green Infrastructure & Buildings,Solid Waste Management,1,0,City curbside recycling program
Green Infrastructure & Buildings,Light Pollution Reduction,0,1,"Low-rise residential, relatively dark; not documented"
Innovation & Design Process,Innovation,0,0,No formal innovation strategy
Innovation & Design Process,LEED Accredited Professional,0,0,No LEED AP of record
Regional Priority,Regional Priority 1,0,0,Regional Priority - depends on underlying credits
Regional Priority,Regional Priority 2,0,1,"One FL RP (e.g., rainwater/heat) conceivable if pursued"
Regional Priority,Regional Priority 3,0,0,Regional Priority - depends on underlying credits
Regional Priority,Regional Priority 4,0,0,Regional Priority - depends on underlying credits
